project	project_id	filename	url	md5	size_mb
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0070.agc	https://osf.io/download/6a35dfe2860beb9b412bf2e4/	bd798d57b61b5a897d814ab3cde0ab10	138.955999
Streptococcus_uberis	z7q5y	Streptococcus_uberis_global_ordered_0001.agc	https://osf.io/download/6a35f666215c4dcd3c2244ac/	5e39ddbd9e982b8d16370fe2e85071f0	24.683426
Pediococcus_pentosaceus	z7q5y	Pediococcus_pentosaceus_global_ordered_0001.agc	https://osf.io/download/6a35eb627105a1ac992bf2af/	4961521985384002916c0b6c54c194e7	3.304891
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0017.agc	https://osf.io/download/6a35f69358844c7cad166790/	ce199871d1c52694fd16de2aa92096d1	130.293338
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0006.agc	https://osf.io/download/6a35edab0a30bcb1751cd281/	ef9e21b8b9824b44824476f5f1452abd	23.277663
Bifidobacterium_longum	z7q5y	Bifidobacterium_longum_global_ordered_0001.agc	https://osf.io/download/6a35ce0c4ef92f8a76166740/	7032a159dd7a6a8af77f2da5e8bc4b07	40.252151
Brucella_melitensis	z7q5y	Brucella_melitensis_global_ordered_0001.agc	https://osf.io/download/6a35ce8208550cfe7d8952db/	2554bdcf30ad3d194657d1adf557fde9	15.308502
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0046.agc	https://osf.io/download/6a35f6e4e7a8b2d43c1cd289/	3bd93b208c31f4efa03fdc5cb96bf9e1	198.002890
Mycobacterium_tuberculosis	z7q5y	Mycobacterium_tuberculosis_global_ordered_0029.agc	https://osf.io/download/6a35e9b6812859e5772bf2ff/	0810d19079b4fa4d1d9ba1371c465f82	32.121306
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Mannheimia_haemolytica	z7q5y	Mannheimia_haemolytica_global_ordered_0001.agc	https://osf.io/download/6a35e6ae7db9c6dfef166788/	36ba1c66a491ff15a9a1ac2b9a528d5d	21.877034
Campylobacter_D_jejuni	z7q5y	Campylobacter_D_jejuni_global_ordered_0002.agc	https://osf.io/download/6a35d05dce49a902191cd315/	c11c7bc527fdaff15f99a3604b9a2853	21.028342
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0034.agc	https://osf.io/download/6a35dbf30a676a9b8f16675c/	8bd3c7ef49b0e8b5bd21b9759eb315b7	129.845286
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0015.agc	https://osf.io/download/6a35d886f4e932a9472bf271/	db8e65f14136e82a19c3f7918386de03	99.629700
Clostridioides_difficile	z7q5y	Clostridioides_difficile_global_ordered_0003.agc	https://osf.io/download/6a35d3093b405058d22bf273/	a9dc9db6dcb0c32ae58d10f8c857fe91	57.331576
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0054.agc	https://osf.io/download/6a35ef5c135ae9f26d2bf2f3/	b5cf04d3a896013c1fd67291b4bbbfb0	39.954274
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0101.agc	https://osf.io/download/6a35f0e8467ca8f68c166750/	2cdbe7e544e1e0f803171c8bf5cf1a9d	48.422707
Limosilactobacillus_reuteri	z7q5y	Limosilactobacillus_reuteri_global_ordered_0001.agc	https://osf.io/download/6a35e569d96f26f27d2bf316/	673bb1e4de29344bcaa05520e5c7020e	16.253457
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0001.agc	https://osf.io/download/6a35d7723596d82e481cd2d7/	260806bdf0845e29437eee4031838d13	125.324632
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Burkholderia_cenocepacia	z7q5y	Burkholderia_cenocepacia_global_ordered_0001.agc	https://osf.io/download/6a35cea52fffbb6dfd2bf2a8/	464427e2438ca9443113b77918f8ad40	36.421275
Clostridioides_difficile	z7q5y	Clostridioides_difficile_global_ordered_0001.agc	https://osf.io/download/6a35d2ce6dddd848131667d1/	73e3b21c4e26433d674e9f22d4785d2b	49.850070
Serratia_ureilytica	z7q5y	Serratia_ureilytica_global_ordered_0001.agc	https://osf.io/download/6a35f26fdfb5efe0ae1cd270/	f579b4277035c84ee95311ee9ccdeb19	29.383217
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0060.agc	https://osf.io/download/6a35ef8c20ebe01b171cd2be/	b3254dfe9c842d9a2c930c6d2b2948d3	49.270713
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0021.agc	https://osf.io/download/6a35f69de7a8b2d43c1cd27b/	75aa4c131ce0fa1c0c81a2624c8f17ab	142.528798
Listeria_monocytogenes	z7q5y	Listeria_monocytogenes_global_ordered_0003.agc	https://osf.io/download/6a35e62ee081f4bb8a2bf318/	eb53e2128ac7526b74155d8a52d5a9ad	19.359635
Listeria_monocytogenes	z7q5y	Listeria_monocytogenes_global_ordered_0007.agc	https://osf.io/download/6a35e66b99b851abcd1cd370/	3b13fee1ad66bd1e6b39247e81eadf0b	14.035669
Burkholderia_mallei	z7q5y	Burkholderia_mallei_global_ordered_0002.agc	https://osf.io/download/6a35cf0b2fffbb6dfd2bf2b7/	2602c744d700a4fb087420cfebc3dbf7	65.325942
Enterococcus_B_lactis	z7q5y	Enterococcus_B_lactis_global_ordered_0001.agc	https://osf.io/download/6a35d6b43596d82e481cd28e/	33f262170b9a102da5ea47213d278bee	33.041461
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Erwinia_amylovora	z7q5y	Erwinia_amylovora_global_ordered_0001.agc	https://osf.io/download/6a35d6fd17206c23611cd2c6/	1804469ba1c91329a881292b29f59530	4.283595
Cronobacter_malonaticus	z7q5y	Cronobacter_malonaticus_global_ordered_0001.agc	https://osf.io/download/6a35d41858ef2ca38e2bf294/	7a4d794da3f40617675c12437699f8d0	10.505259
Mycobacterium_tuberculosis	z7q5y	Mycobacterium_tuberculosis_global_ordered_0015.agc	https://osf.io/download/6a35e8f61d97fa5e121cd277/	0ad835fcd4df8cc2f3031fad8ac82a0a	106.022583
